identifier,title,author,year
0008INSE,Insectivorous plants,Charles Darwin.,1875
0018THEV,The variation of animals and plants under domestication v1,Charles Darwin.,1868
0019THEV,The variation of animals and plants under domestication,Charles Darwin.,1868
469678875.4008.emory.edu,"Annual report of the New Orleans, Opelousas & Great Western Railroad Company, to the governor of the state of Louisiana","['New Orleans, Opelousas, and Great Western Railroad Company', 'Taylor, John M. (John McCarthney), d. 1867, printer', 'Elliot, Charles Darwin, 1837-1908, former owner. GEU']",1861
B-001-002-883,"The Variation of Animals and Plants Under Domestication, Volume 2 (Google eBook)",Charles Darwin,1868
B-001-002-942,On the Various Contrivances by which British and Foreign Orchids are Fertilised by Insects: And on the Good Effects of Intercrossing (Google),Charles Darwin,1862
B-001-002-946,On the Various Contrivances by which British and Foreign Orchids are Fertilised by Insects: And on the Good Effects of Intercrossing (Google eBook),Charles Darwin,1862
B-001-002-950,"The Descent of Man, and Selection in Relation to Sex, Volume 1 (Google eBook)",Charles Darwin,1872
B-001-004-417,On the Origin of Species by Means of Natural Selection: Or the Preservation of Favored Races in the Struggle for Life (Google eBook),Charles Darwin,1859
B-001-004-418,"On the origin of species by means of natural selection: or, The preservation of favored races in the struggle for life (Google eBook)",Charles Darwin,1864
B-001-024-174,The Expression of the Emotions in Man and Animals,Charles Darwin,2007
